deck_file,output_file,vdd,temp,width_inv,width_p1,width_p2,width_p3,width_p4,width_n1,width_n2,width_n3,width_n4,cload,switching_input,static_input,static_state
spice/generated/xor2_0018.cir,spice/outputs/xor2_0018_output.txt,1.543,25.3,1.172,0.95,0.974,1.628,0.609,1.187,1.998,1.994,0.61,5.05,b,a,0
spice/generated/xor2_0019.cir,spice/outputs/xor2_0019_output.txt,1.96,105.3,1.379,1.054,0.737,1.751,1.555,1.418,1.981,1.481,0.512,16.52,b,a,0
spice/generated/xor2_0020.cir,spice/outputs/xor2_0020_output.txt,1.963,-17.8,0.615,0.661,1.33,0.909,1.407,1.576,0.805,1.451,0.896,10.28,a,b,0
spice/generated/xor2_0021.cir,spice/outputs/xor2_0021_output.txt,1.781,96.8,0.544,1.0,0.696,1.97,0.742,1.163,1.559,1.341,0.668,18.96,a,b,0
spice/generated/xor2_0022.cir,spice/outputs/xor2_0022_output.txt,1.901,56.1,0.648,0.691,0.962,1.848,1.694,1.791,1.848,0.815,0.874,2.95,b,a,0
spice/generated/xor2_0023.cir,spice/outputs/xor2_0023_output.txt,1.955,-0.9,0.663,1.7,0.766,1.118,0.769,1.887,1.674,1.118,1.505,14.97,a,b,1
spice/generated/xor2_0024.cir,spice/outputs/xor2_0024_output.txt,1.496,75.7,0.883,0.558,1.206,0.799,1.878,1.024,1.731,1.807,0.834,13.54,b,a,1
spice/generated/xor2_0025.cir,spice/outputs/xor2_0025_output.txt,1.567,-28.5,1.273,1.027,1.264,1.519,1.765,0.997,0.541,1.816,0.892,12.03,b,a,0
spice/generated/xor2_0026.cir,spice/outputs/xor2_0026_output.txt,1.465,31.7,1.229,0.971,1.409,1.267,1.078,1.365,0.882,1.563,0.503,18.59,a,b,1
spice/generated/xor2_0027.cir,spice/outputs/xor2_0027_output.txt,1.659,116.6,1.421,1.435,1.495,0.687,1.85,1.261,1.5,0.989,1.546,11.53,a,b,1
spice/generated/xor2_0028.cir,spice/outputs/xor2_0028_output.txt,1.799,22.6,1.248,0.761,1.354,1.109,1.751,0.956,0.815,1.679,1.41,7.12,b,a,1
spice/generated/xor2_0029.cir,spice/outputs/xor2_0029_output.txt,1.805,44.3,1.294,1.94,1.604,1.488,0.926,1.496,1.429,0.64,1.928,5.46,b,a,0
spice/generated/xor2_0030.cir,spice/outputs/xor2_0030_output.txt,1.884,-15.7,0.546,1.976,1.417,1.653,1.183,1.829,1.364,1.578,1.076,8.59,a,b,0
spice/generated/xor2_0031.cir,spice/outputs/xor2_0031_output.txt,1.936,102.0,1.385,1.668,0.828,1.706,1.544,1.197,1.336,1.876,0.682,3.53,b,a,1
spice/generated/xor2_0032.cir,spice/outputs/xor2_0032_output.txt,1.97,107.1,1.113,1.579,1.257,1.746,1.322,1.846,1.615,1.212,0.889,5.7,b,a,1
spice/generated/xor2_0033.cir,spice/outputs/xor2_0033_output.txt,1.776,5.3,0.577,0.929,0.908,0.98,1.31,0.708,0.847,1.541,1.56,2.22,b,a,1
spice/generated/xor2_0034.cir,spice/outputs/xor2_0034_output.txt,1.726,28.6,0.707,1.13,1.857,1.376,1.543,1.785,1.648,1.071,0.509,7.68,b,a,1
spice/generated/xor2_0035.cir,spice/outputs/xor2_0035_output.txt,1.723,81.2,1.3,1.847,1.232,0.909,1.228,1.083,1.503,1.697,1.586,16.97,a,b,0
spice/generated/xor2_0036.cir,spice/outputs/xor2_0036_output.txt,1.944,57.7,1.163,0.626,1.143,1.8,0.773,0.89,0.991,1.182,1.006,17.71,b,a,1
spice/generated/xor2_0037.cir,spice/outputs/xor2_0037_output.txt,1.551,-26.5,0.519,1.309,2.0,1.025,1.475,1.672,1.478,1.631,1.924,4.79,a,b,0
spice/generated/xor2_0038.cir,spice/outputs/xor2_0038_output.txt,1.543,38.1,0.614,1.922,1.198,0.884,1.053,1.409,1.946,1.578,1.667,4.11,b,a,0
spice/generated/xor2_0039.cir,spice/outputs/xor2_0039_output.txt,1.747,113.3,1.076,1.862,1.063,1.912,0.797,1.388,1.746,0.864,1.546,6.73,a,b,0
spice/generated/xor2_0040.cir,spice/outputs/xor2_0040_output.txt,1.608,30.7,0.871,1.259,1.012,1.774,1.733,0.658,1.941,1.453,1.743,14.44,b,a,0
spice/generated/xor2_0041.cir,spice/outputs/xor2_0041_output.txt,1.84,119.3,0.77,1.712,1.307,1.225,1.153,1.597,0.903,1.778,1.746,2.65,b,a,0
spice/generated/xor2_0042.cir,spice/outputs/xor2_0042_output.txt,1.85,54.0,1.168,1.005,1.241,0.988,1.231,1.032,0.888,0.919,1.394,17.72,a,b,0
spice/generated/xor2_0043.cir,spice/outputs/xor2_0043_output.txt,1.451,78.8,0.989,1.637,1.536,1.469,1.236,1.689,0.64,0.832,1.538,6.82,b,a,1
spice/generated/xor2_0044.cir,spice/outputs/xor2_0044_output.txt,1.732,16.7,1.497,1.326,1.028,1.181,0.96,0.846,1.582,0.973,1.614,19.07,a,b,0
spice/generated/xor2_0045.cir,spice/outputs/xor2_0045_output.txt,1.53,39.9,1.225,1.965,1.287,0.924,0.651,0.791,0.841,0.769,0.521,11.15,b,a,0
spice/generated/xor2_0046.cir,spice/outputs/xor2_0046_output.txt,1.985,51.3,1.197,0.689,1.803,1.236,1.809,1.361,1.204,1.161,0.777,1.98,b,a,0
spice/generated/xor2_0047.cir,spice/outputs/xor2_0047_output.txt,1.893,26.1,0.574,1.444,0.58,0.724,1.344,0.956,1.991,0.678,1.647,12.52,a,b,1
spice/generated/xor2_0048.cir,spice/outputs/xor2_0048_output.txt,1.67,33.0,1.36,1.985,0.958,1.432,1.414,1.61,1.921,0.812,0.817,13.55,a,b,0
spice/generated/xor2_0049.cir,spice/outputs/xor2_0049_output.txt,1.504,-27.6,0.503,1.176,1.391,0.937,0.847,1.56,1.554,1.181,1.531,18.55,a,b,1
spice/generated/xor2_0050.cir,spice/outputs/xor2_0050_output.txt,1.469,-2.9,0.649,0.898,0.713,0.589,1.689,1.393,1.736,1.882,1.159,9.91,b,a,1
spice/generated/xor2_0051.cir,spice/outputs/xor2_0051_output.txt,1.966,42.6,0.994,0.621,0.56,1.148,0.983,0.876,0.637,1.943,1.754,11.93,a,b,1
spice/generated/xor2_0052.cir,spice/outputs/xor2_0052_output.txt,1.746,85.9,0.675,1.278,1.163,0.917,1.995,1.154,1.721,1.954,1.205,8.76,b,a,0
spice/generated/xor2_0053.cir,spice/outputs/xor2_0053_output.txt,1.915,14.4,1.194,0.932,1.918,1.72,1.325,1.182,0.972,0.985,1.955,8.68,a,b,1
spice/generated/xor2_0054.cir,spice/outputs/xor2_0054_output.txt,1.648,-9.0,0.862,1.635,1.438,1.64,0.805,1.324,1.892,1.157,1.547,3.31,a,b,0
spice/generated/xor2_0055.cir,spice/outputs/xor2_0055_output.txt,1.586,-37.7,0.908,0.837,1.762,0.67,1.921,1.472,0.731,1.899,0.938,14.4,b,a,1
spice/generated/xor2_0056.cir,spice/outputs/xor2_0056_output.txt,1.988,0.2,1.051,1.075,1.883,1.262,1.819,1.796,0.914,1.685,1.122,18.75,b,a,0
spice/generated/xor2_0057.cir,spice/outputs/xor2_0057_output.txt,1.57,9.3,1.087,1.998,1.234,0.723,1.308,1.018,1.328,1.315,1.183,7.11,a,b,0
spice/generated/xor2_0058.cir,spice/outputs/xor2_0058_output.txt,1.743,-1.5,1.276,0.565,1.617,1.558,1.717,1.079,1.496,1.731,1.971,10.41,a,b,0
spice/generated/xor2_0059.cir,spice/outputs/xor2_0059_output.txt,1.701,57.4,1.37,1.811,1.16,1.289,1.185,1.584,1.115,1.482,0.732,9.92,b,a,1
spice/generated/xor2_0060.cir,spice/outputs/xor2_0060_output.txt,1.774,25.6,0.58,0.993,1.512,1.3,1.931,1.44,1.831,1.232,1.312,12.73,a,b,1
spice/generated/xor2_0061.cir,spice/outputs/xor2_0061_output.txt,1.998,83.2,0.934,0.648,1.451,1.809,1.166,1.541,1.855,0.569,1.694,6.57,b,a,1
spice/generated/xor2_0062.cir,spice/outputs/xor2_0062_output.txt,1.487,47.6,1.066,1.689,0.755,0.618,1.806,1.43,0.861,1.869,0.715,9.76,b,a,1
spice/generated/xor2_0063.cir,spice/outputs/xor2_0063_output.txt,1.553,-38.4,1.305,1.852,1.516,0.737,1.163,1.018,1.381,1.458,1.136,5.75,b,a,0
spice/generated/xor2_0064.cir,spice/outputs/xor2_0064_output.txt,2.0,100.8,0.607,1.072,1.038,0.944,1.549,0.533,1.745,1.094,0.512,17.44,a,b,1
spice/generated/xor2_0065.cir,spice/outputs/xor2_0065_output.txt,1.9,109.0,1.276,0.845,1.703,0.829,0.785,0.876,1.633,1.651,1.521,3.6,a,b,0
spice/generated/xor2_0066.cir,spice/outputs/xor2_0066_output.txt,1.585,32.7,1.08,1.599,0.635,0.943,1.621,0.763,0.698,1.309,1.957,11.09,b,a,0
spice/generated/xor2_0067.cir,spice/outputs/xor2_0067_output.txt,1.554,96.1,0.982,1.71,1.62,1.008,0.673,1.944,0.711,1.95,1.79,14.76,b,a,1
spice/generated/xor2_0068.cir,spice/outputs/xor2_0068_output.txt,1.454,25.1,0.764,0.685,1.053,1.624,0.893,1.072,1.458,1.057,1.512,9.96,b,a,0
spice/generated/xor2_0069.cir,spice/outputs/xor2_0069_output.txt,1.789,64.8,0.964,1.552,1.474,0.675,0.568,0.556,1.994,0.674,0.852,11.21,b,a,1
spice/generated/xor2_0070.cir,spice/outputs/xor2_0070_output.txt,1.623,116.6,1.196,1.31,1.381,1.59,1.828,1.482,1.751,1.423,1.909,6.32,b,a,0
spice/generated/xor2_0071.cir,spice/outputs/xor2_0071_output.txt,1.666,116.8,1.355,0.649,1.529,1.317,1.967,1.038,1.097,0.785,0.683,17.11,b,a,0
spice/generated/xor2_0072.cir,spice/outputs/xor2_0072_output.txt,1.798,65.9,1.097,0.532,1.68,0.865,0.689,1.347,0.603,1.648,0.811,5.1,a,b,1
spice/generated/xor2_0073.cir,spice/outputs/xor2_0073_output.txt,1.865,90.1,1.096,0.916,1.976,1.981,1.31,1.698,0.665,1.8,0.698,7.81,a,b,1
spice/generated/xor2_0074.cir,spice/outputs/xor2_0074_output.txt,1.409,3.8,0.627,1.131,0.67,0.595,1.172,1.043,1.39,1.178,0.832,12.69,b,a,1
spice/generated/xor2_0075.cir,spice/outputs/xor2_0075_output.txt,1.786,-34.9,1.499,1.771,1.139,0.662,1.569,1.165,1.849,0.983,0.723,3.4,b,a,1
spice/generated/xor2_0076.cir,spice/outputs/xor2_0076_output.txt,1.997,47.5,0.954,1.408,0.649,1.553,1.779,1.476,1.653,1.581,0.823,9.58,a,b,1
spice/generated/xor2_0077.cir,spice/outputs/xor2_0077_output.txt,1.603,34.8,0.916,0.643,1.14,1.498,1.061,0.729,1.884,0.601,1.748,2.77,a,b,1
spice/generated/xor2_0078.cir,spice/outputs/xor2_0078_output.txt,1.887,51.8,1.086,1.342,0.994,0.683,1.03,1.498,1.625,1.802,1.582,19.4,b,a,1
spice/generated/xor2_0079.cir,spice/outputs/xor2_0079_output.txt,1.462,43.7,0.655,1.223,1.771,1.025,1.334,0.672,0.918,0.839,1.144,11.66,a,b,1
spice/generated/xor2_0080.cir,spice/outputs/xor2_0080_output.txt,1.417,5.1,1.262,1.882,1.027,0.772,0.715,1.486,0.604,1.611,1.958,2.74,a,b,1
spice/generated/xor2_0081.cir,spice/outputs/xor2_0081_output.txt,1.652,16.2,0.87,1.582,1.665,1.351,0.627,0.579,0.736,1.427,1.511,6.17,b,a,1
spice/generated/xor2_0082.cir,spice/outputs/xor2_0082_output.txt,1.764,28.3,0.716,1.269,1.018,0.666,1.517,1.39,1.29,0.963,0.831,19.7,a,b,0
spice/generated/xor2_0083.cir,spice/outputs/xor2_0083_output.txt,1.523,116.0,1.267,1.646,0.934,0.68,1.246,1.146,0.694,1.299,0.845,11.62,b,a,0
spice/generated/xor2_0084.cir,spice/outputs/xor2_0084_output.txt,1.638,82.4,0.936,1.19,0.617,0.97,1.144,1.107,1.46,0.934,1.108,19.36,a,b,1
spice/generated/xor2_0085.cir,spice/outputs/xor2_0085_output.txt,1.899,111.8,0.588,1.767,0.865,1.383,1.286,1.094,0.965,1.009,1.0,4.19,a,b,0
spice/generated/xor2_0086.cir,spice/outputs/xor2_0086_output.txt,1.944,17.6,1.227,1.728,1.723,0.854,0.72,0.796,1.404,1.64,1.483,4.37,b,a,1
spice/generated/xor2_0087.cir,spice/outputs/xor2_0087_output.txt,1.853,85.4,0.949,1.886,1.347,1.453,1.437,1.796,1.441,0.726,0.602,9.4,b,a,1
spice/generated/xor2_0088.cir,spice/outputs/xor2_0088_output.txt,1.755,18.1,0.574,1.193,0.556,1.053,0.931,1.467,1.966,0.635,1.391,8.31,a,b,1
spice/generated/xor2_0089.cir,spice/outputs/xor2_0089_output.txt,1.945,54.3,0.688,1.408,1.252,1.937,1.176,1.716,1.756,1.974,0.626,13.28,a,b,0
spice/generated/xor2_0090.cir,spice/outputs/xor2_0090_output.txt,1.825,123.5,1.024,1.415,1.046,1.877,1.081,1.662,1.518,0.579,1.446,7.36,b,a,0
spice/generated/xor2_0091.cir,spice/outputs/xor2_0091_output.txt,1.735,23.8,0.752,1.777,1.947,1.404,0.726,0.622,1.495,1.875,0.965,13.47,b,a,0
spice/generated/xor2_0092.cir,spice/outputs/xor2_0092_output.txt,1.757,114.8,0.81,1.065,1.687,1.72,1.505,1.743,1.608,1.528,1.29,13.27,b,a,1
spice/generated/xor2_0093.cir,spice/outputs/xor2_0093_output.txt,1.411,11.0,1.451,1.013,1.649,0.788,2.0,0.732,0.944,1.682,1.262,11.26,a,b,1
spice/generated/xor2_0094.cir,spice/outputs/xor2_0094_output.txt,1.926,62.0,1.097,0.731,0.771,1.539,1.437,1.854,1.582,0.566,1.046,14.67,b,a,1
spice/generated/xor2_0095.cir,spice/outputs/xor2_0095_output.txt,1.851,89.3,0.734,0.859,1.948,1.677,1.856,0.791,1.517,1.356,1.161,15.62,b,a,1
spice/generated/xor2_0096.cir,spice/outputs/xor2_0096_output.txt,1.98,94.8,1.301,0.708,0.875,1.462,1.811,1.332,0.654,1.769,1.777,6.42,a,b,1
spice/generated/xor2_0097.cir,spice/outputs/xor2_0097_output.txt,1.67,44.7,1.331,0.638,1.866,1.725,1.827,1.896,1.122,1.095,1.061,8.34,a,b,1
spice/generated/xor2_0098.cir,spice/outputs/xor2_0098_output.txt,1.535,12.6,0.599,1.572,1.003,0.719,0.557,1.876,1.209,1.747,1.638,9.91,a,b,0
spice/generated/xor2_0099.cir,spice/outputs/xor2_0099_output.txt,1.411,-4.4,0.65,1.91,1.413,1.135,1.664,0.856,0.683,0.858,1.458,12.83,a,b,0
spice/generated/xor2_0100.cir,spice/outputs/xor2_0100_output.txt,1.902,42.5,1.036,1.448,1.363,1.578,0.937,0.502,1.029,1.356,0.781,13.7,b,a,0
spice/generated/xor2_0101.cir,spice/outputs/xor2_0101_output.txt,1.972,49.8,1.286,1.261,0.531,1.81,0.565,1.08,1.06,1.621,1.036,2.28,a,b,0
spice/generated/xor2_0102.cir,spice/outputs/xor2_0102_output.txt,1.863,81.3,0.833,0.567,1.319,1.72,0.763,1.669,1.197,1.543,1.448,16.42,a,b,1
spice/generated/xor2_0103.cir,spice/outputs/xor2_0103_output.txt,1.422,-6.7,1.291,1.829,0.973,0.965,1.097,1.723,1.21,0.555,1.47,6.44,a,b,1
spice/generated/xor2_0104.cir,spice/outputs/xor2_0104_output.txt,1.564,91.9,0.937,1.1,1.16,1.935,1.009,0.78,1.538,1.051,1.696,6.07,a,b,1
spice/generated/xor2_0105.cir,spice/outputs/xor2_0105_output.txt,1.447,59.4,1.322,1.318,0.982,0.62,1.491,0.96,1.404,1.139,1.535,7.68,a,b,1
spice/generated/xor2_0106.cir,spice/outputs/xor2_0106_output.txt,1.769,31.8,1.139,1.687,0.586,1.507,1.109,1.27,1.625,0.74,0.547,17.12,b,a,0
spice/generated/xor2_0107.cir,spice/outputs/xor2_0107_output.txt,1.476,-1.1,1.145,1.043,1.924,0.549,0.73,1.175,1.056,1.166,0.615,3.62,b,a,1
spice/generated/xor2_0108.cir,spice/outputs/xor2_0108_output.txt,1.589,6.0,1.461,0.539,0.779,1.277,1.87,0.677,1.662,1.556,0.822,12.63,b,a,0
spice/generated/xor2_0109.cir,spice/outputs/xor2_0109_output.txt,1.474,100.7,0.952,1.848,1.168,0.632,1.523,1.768,0.979,1.021,0.597,11.3,b,a,0
spice/generated/xor2_0110.cir,spice/outputs/xor2_0110_output.txt,1.827,113.0,1.138,1.691,1.263,0.682,0.801,0.708,1.686,0.539,1.331,8.01,a,b,0
spice/generated/xor2_0111.cir,spice/outputs/xor2_0111_output.txt,1.439,25.7,1.217,1.218,1.116,1.114,1.362,0.688,0.976,0.611,1.199,10.83,a,b,0
spice/generated/xor2_0112.cir,spice/outputs/xor2_0112_output.txt,1.861,-18.7,1.003,1.802,1.747,1.277,0.956,0.743,1.902,0.838,1.921,10.86,b,a,0
spice/generated/xor2_0113.cir,spice/outputs/xor2_0113_output.txt,1.55,64.8,1.051,0.688,0.954,1.3,1.254,0.753,1.912,0.731,1.488,14.69,b,a,0
spice/generated/xor2_0114.cir,spice/outputs/xor2_0114_output.txt,1.895,-35.3,0.545,1.462,1.365,1.477,1.65,1.125,1.458,1.247,1.441,6.5,b,a,1
spice/generated/xor2_0115.cir,spice/outputs/xor2_0115_output.txt,1.547,93.2,0.906,1.18,1.533,0.737,1.123,1.197,1.01,0.716,1.792,7.07,b,a,1
spice/generated/xor2_0116.cir,spice/outputs/xor2_0116_output.txt,1.478,21.1,1.062,0.979,1.2,0.901,0.872,0.645,0.935,1.076,1.423,5.72,a,b,1
spice/generated/xor2_0117.cir,spice/outputs/xor2_0117_output.txt,1.96,79.0,0.69,0.739,1.994,1.2,1.819,1.246,0.635,1.09,1.186,5.57,b,a,0
spice/generated/xor2_0118.cir,spice/outputs/xor2_0118_output.txt,1.43,41.7,1.382,1.481,1.206,1.305,1.771,1.146,1.824,1.591,1.646,7.95,b,a,0
spice/generated/xor2_0119.cir,spice/outputs/xor2_0119_output.txt,1.742,-7.9,1.053,0.61,1.256,1.647,0.92,1.984,1.521,0.678,1.963,8.48,b,a,1
spice/generated/xor2_0120.cir,spice/outputs/xor2_0120_output.txt,1.853,-7.2,1.009,1.25,0.568,0.706,1.0,1.211,1.185,1.409,1.273,7.23,b,a,0
spice/generated/xor2_0121.cir,spice/outputs/xor2_0121_output.txt,1.636,61.7,1.343,1.391,1.261,1.265,1.235,1.344,1.212,0.525,0.997,3.08,b,a,1
spice/generated/xor2_0122.cir,spice/outputs/xor2_0122_output.txt,1.878,79.7,1.188,0.54,1.212,1.951,1.674,1.664,1.366,1.582,1.375,4.24,b,a,0
spice/generated/xor2_0123.cir,spice/outputs/xor2_0123_output.txt,1.893,-0.0,1.073,1.551,0.786,1.162,1.128,1.119,0.806,1.253,1.417,9.96,a,b,0
spice/generated/xor2_0124.cir,spice/outputs/xor2_0124_output.txt,1.711,52.5,1.498,1.218,1.065,1.935,1.189,1.3,1.319,1.514,1.801,13.93,b,a,1
spice/generated/xor2_0125.cir,spice/outputs/xor2_0125_output.txt,1.515,0.7,1.058,0.837,1.959,0.946,0.934,0.811,1.557,0.976,1.023,18.74,b,a,1
spice/generated/xor2_0126.cir,spice/outputs/xor2_0126_output.txt,1.473,71.6,0.88,1.97,1.728,1.932,1.707,0.936,0.931,1.571,1.02,9.41,b,a,1
spice/generated/xor2_0127.cir,spice/outputs/xor2_0127_output.txt,1.528,96.6,0.771,1.343,0.907,0.664,1.611,0.859,0.576,1.858,0.839,5.42,a,b,1
spice/generated/xor2_0128.cir,spice/outputs/xor2_0128_output.txt,1.598,37.9,1.181,0.706,1.947,1.967,0.737,1.479,1.821,1.214,1.476,15.36,b,a,1
spice/generated/xor2_0129.cir,spice/outputs/xor2_0129_output.txt,1.571,-30.2,1.269,1.478,0.848,1.608,1.775,0.556,1.882,1.127,1.756,18.74,a,b,1
spice/generated/xor2_0130.cir,spice/outputs/xor2_0130_output.txt,1.873,-9.3,1.249,1.808,0.934,0.556,0.948,1.404,1.893,1.003,1.182,13.18,b,a,0
spice/generated/xor2_0131.cir,spice/outputs/xor2_0131_output.txt,1.911,37.2,0.693,0.669,0.744,1.188,0.886,0.779,1.605,1.686,1.352,15.39,a,b,1
spice/generated/xor2_0132.cir,spice/outputs/xor2_0132_output.txt,1.896,45.0,0.587,1.504,0.777,0.711,0.985,0.872,0.891,0.853,1.631,19.13,b,a,0
spice/generated/xor2_0133.cir,spice/outputs/xor2_0133_output.txt,1.557,19.3,0.736,1.502,1.198,0.74,1.529,1.885,1.832,1.655,1.535,13.14,b,a,1
spice/generated/xor2_0134.cir,spice/outputs/xor2_0134_output.txt,1.769,-3.8,0.634,0.73,1.622,1.409,1.124,1.324,1.206,1.306,1.496,5.15,a,b,0
spice/generated/xor2_0135.cir,spice/outputs/xor2_0135_output.txt,1.715,47.1,0.862,1.876,0.668,1.743,1.854,0.803,1.305,0.747,1.782,9.39,a,b,1
spice/generated/xor2_0136.cir,spice/outputs/xor2_0136_output.txt,1.455,44.2,1.309,1.18,1.27,1.185,0.587,1.194,1.71,1.585,1.094,16.51,a,b,0
spice/generated/xor2_0137.cir,spice/outputs/xor2_0137_output.txt,1.427,16.8,0.564,1.991,1.902,0.604,1.901,0.548,1.113,1.653,1.649,19.59,b,a,1
spice/generated/xor2_0138.cir,spice/outputs/xor2_0138_output.txt,1.996,23.1,1.37,1.86,1.063,1.524,1.493,1.309,1.48,1.022,0.768,11.21,a,b,0
spice/generated/xor2_0139.cir,spice/outputs/xor2_0139_output.txt,1.901,84.8,1.478,1.195,1.579,1.136,1.069,0.844,1.191,0.733,0.783,17.63,a,b,0
spice/generated/xor2_0140.cir,spice/outputs/xor2_0140_output.txt,1.886,29.2,1.266,1.826,0.523,0.809,0.651,0.55,1.397,1.555,0.573,15.07,b,a,1
spice/generated/xor2_0141.cir,spice/outputs/xor2_0141_output.txt,1.541,-4.2,1.364,0.585,1.256,0.934,1.724,1.597,0.978,1.397,1.509,7.09,b,a,0
spice/generated/xor2_0142.cir,spice/outputs/xor2_0142_output.txt,1.991,46.0,0.914,0.913,1.335,1.388,1.603,0.763,1.518,1.334,0.57,7.54,b,a,1
spice/generated/xor2_0143.cir,spice/outputs/xor2_0143_output.txt,1.818,27.4,0.8,0.776,1.307,0.861,0.838,1.786,0.717,1.195,0.586,8.84,b,a,0
spice/generated/xor2_0144.cir,spice/outputs/xor2_0144_output.txt,1.633,2.1,0.83,0.619,1.175,1.057,1.303,1.744,0.577,1.066,1.407,1.75,a,b,0
spice/generated/xor2_0145.cir,spice/outputs/xor2_0145_output.txt,1.883,57.0,1.171,0.826,0.813,1.861,0.955,1.863,0.818,0.785,1.612,15.19,b,a,0
spice/generated/xor2_0146.cir,spice/outputs/xor2_0146_output.txt,1.817,76.1,0.897,0.859,0.982,0.925,1.199,1.473,0.963,1.039,1.824,9.85,b,a,1
spice/generated/xor2_0147.cir,spice/outputs/xor2_0147_output.txt,1.949,21.2,0.914,1.344,0.832,0.719,0.891,1.902,1.369,1.126,0.729,7.27,b,a,0
spice/generated/xor2_0148.cir,spice/outputs/xor2_0148_output.txt,1.7,68.0,1.185,0.886,1.732,1.95,1.463,1.236,0.752,1.692,0.754,14.69,b,a,0
spice/generated/xor2_0149.cir,spice/outputs/xor2_0149_output.txt,1.95,49.5,1.142,0.588,0.551,1.77,1.918,1.502,1.647,1.119,1.764,5.4,a,b,0
spice/generated/xor2_0150.cir,spice/outputs/xor2_0150_output.txt,1.531,35.2,0.56,1.457,1.901,1.869,1.489,0.524,1.298,1.117,0.525,14.72,b,a,0
spice/generated/xor2_0151.cir,spice/outputs/xor2_0151_output.txt,1.701,75.1,0.931,1.91,0.769,1.877,1.287,0.861,1.43,0.879,1.032,16.1,a,b,1
spice/generated/xor2_0152.cir,spice/outputs/xor2_0152_output.txt,1.976,35.7,0.743,1.546,0.95,1.742,0.621,1.988,1.475,0.548,1.108,8.17,b,a,0
spice/generated/xor2_0153.cir,spice/outputs/xor2_0153_output.txt,1.782,76.0,0.583,1.768,1.467,0.997,1.966,1.961,1.842,1.879,0.845,18.12,b,a,1
spice/generated/xor2_0154.cir,spice/outputs/xor2_0154_output.txt,1.428,-27.7,1.426,1.849,1.345,0.549,1.893,0.972,1.942,1.381,1.628,14.54,b,a,0
