deck_file,output_file,vdd,temp,width_p1,width_p2,width_n1,width_n2,cload,switching_input,static_input,static_state
spice/generated/nor2_0019.cir,spice/outputs/nor2_0019_output.txt,1.639,70.8,1.06,1.849,1.177,0.872,2.22,a,b,0
spice/generated/nor2_0020.cir,spice/outputs/nor2_0020_output.txt,1.753,-2.0,0.83,0.606,1.447,0.843,18.2,b,a,0
spice/generated/nor2_0021.cir,spice/outputs/nor2_0021_output.txt,1.443,-0.7,1.503,0.821,0.698,1.903,11.85,b,a,0
spice/generated/nor2_0022.cir,spice/outputs/nor2_0022_output.txt,1.546,38.0,1.111,0.641,1.488,1.031,8.81,a,b,0
spice/generated/nor2_0023.cir,spice/outputs/nor2_0023_output.txt,1.804,122.4,0.648,1.104,1.009,1.793,5.72,a,b,0
spice/generated/nor2_0024.cir,spice/outputs/nor2_0024_output.txt,1.722,-16.9,0.775,1.194,1.812,0.613,16.35,a,b,0
spice/generated/nor2_0025.cir,spice/outputs/nor2_0025_output.txt,1.43,124.9,1.754,1.953,1.89,1.773,4.16,b,a,0
spice/generated/nor2_0026.cir,spice/outputs/nor2_0026_output.txt,1.689,102.7,1.854,0.747,0.503,1.086,18.6,b,a,0
spice/generated/nor2_0027.cir,spice/outputs/nor2_0027_output.txt,1.571,74.9,1.596,1.675,1.493,1.23,4.61,a,b,0
spice/generated/nor2_0028.cir,spice/outputs/nor2_0028_output.txt,1.981,55.6,1.313,1.622,0.586,1.376,10.55,a,b,0
spice/generated/nor2_0029.cir,spice/outputs/nor2_0029_output.txt,1.434,43.8,1.777,0.603,0.602,1.793,8.67,a,b,0
spice/generated/nor2_0030.cir,spice/outputs/nor2_0030_output.txt,1.747,-33.4,0.623,1.486,1.348,0.975,5.95,b,a,0
spice/generated/nor2_0031.cir,spice/outputs/nor2_0031_output.txt,1.543,25.3,1.508,0.95,0.974,1.628,2.38,b,a,0
spice/generated/nor2_0032.cir,spice/outputs/nor2_0032_output.txt,1.773,52.9,0.65,1.306,1.259,0.699,7.63,a,b,0
spice/generated/nor2_0033.cir,spice/outputs/nor2_0033_output.txt,1.928,21.0,0.737,1.751,1.555,1.418,19.76,a,b,0
spice/generated/nor2_0034.cir,spice/outputs/nor2_0034_output.txt,1.801,51.5,1.898,0.655,1.817,0.897,17.9,a,b,0
spice/generated/nor2_0035.cir,spice/outputs/nor2_0035_output.txt,1.563,59.8,1.576,0.805,1.451,0.896,10.28,a,b,0
spice/generated/nor2_0036.cir,spice/outputs/nor2_0036_output.txt,1.455,29.9,0.915,0.505,1.657,1.456,5.98,b,a,0
spice/generated/nor2_0037.cir,spice/outputs/nor2_0037_output.txt,1.731,30.6,0.515,0.613,1.825,1.856,11.37,b,a,0
spice/generated/nor2_0038.cir,spice/outputs/nor2_0038_output.txt,1.75,-15.6,0.691,0.962,1.848,1.694,17.35,b,a,0
spice/generated/nor2_0039.cir,spice/outputs/nor2_0039_output.txt,1.526,1.2,0.654,1.67,1.826,1.11,12.79,a,b,0
spice/generated/nor2_0040.cir,spice/outputs/nor2_0040_output.txt,1.955,-0.9,0.744,1.7,0.766,1.118,4.41,b,a,0
spice/generated/nor2_0041.cir,spice/outputs/nor2_0041_output.txt,1.869,27.9,1.505,1.603,0.872,0.739,14.32,b,a,0
spice/generated/nor2_0042.cir,spice/outputs/nor2_0042_output.txt,1.923,101.7,0.834,1.725,1.19,0.958,16.11,a,b,0
spice/generated/nor2_0043.cir,spice/outputs/nor2_0043_output.txt,1.534,68.9,1.098,0.918,0.604,1.66,7.67,b,a,0
spice/generated/nor2_0044.cir,spice/outputs/nor2_0044_output.txt,1.808,99.2,0.997,0.541,1.816,0.892,12.03,b,a,0
spice/generated/nor2_0045.cir,spice/outputs/nor2_0045_output.txt,1.423,58.4,1.019,1.68,1.155,1.976,3.2,a,b,0
spice/generated/nor2_0046.cir,spice/outputs/nor2_0046_output.txt,1.553,76.9,0.503,1.888,1.308,1.579,15.1,a,b,0
spice/generated/nor2_0047.cir,spice/outputs/nor2_0047_output.txt,1.619,-28.5,1.496,0.995,0.971,1.772,14.68,b,a,0
spice/generated/nor2_0048.cir,spice/outputs/nor2_0048_output.txt,1.704,70.0,0.989,1.546,1.332,0.788,13.63,b,a,0
spice/generated/nor2_0049.cir,spice/outputs/nor2_0049_output.txt,1.806,109.0,1.423,0.951,1.322,0.501,6.45,b,a,0
spice/generated/nor2_0050.cir,spice/outputs/nor2_0050_output.txt,1.871,60.1,0.983,1.163,1.513,1.267,16.08,a,b,0
spice/generated/nor2_0051.cir,spice/outputs/nor2_0051_output.txt,1.795,6.8,1.496,1.429,0.64,1.928,5.46,b,a,0
spice/generated/nor2_0052.cir,spice/outputs/nor2_0052_output.txt,1.535,-7.1,0.537,0.867,1.213,1.775,2.38,b,a,0
spice/generated/nor2_0053.cir,spice/outputs/nor2_0053_output.txt,1.932,55.0,1.578,1.076,1.099,0.721,14.06,a,b,0
spice/generated/nor2_0054.cir,spice/outputs/nor2_0054_output.txt,1.867,-3.9,1.706,1.544,1.197,1.336,18.43,a,b,0
spice/generated/nor2_0055.cir,spice/outputs/nor2_0055_output.txt,1.674,92.2,1.501,1.982,1.393,1.925,17.94,b,a,0
spice/generated/nor2_0056.cir,spice/outputs/nor2_0056_output.txt,1.898,50.4,1.846,1.615,1.212,0.889,5.7,b,a,0
spice/generated/nor2_0057.cir,spice/outputs/nor2_0057_output.txt,1.859,46.0,1.44,0.912,0.616,0.929,6.16,b,a,0
spice/generated/nor2_0058.cir,spice/outputs/nor2_0058_output.txt,1.936,-26.7,0.726,1.075,0.729,0.821,8.88,b,a,0
spice/generated/nor2_0059.cir,spice/outputs/nor2_0059_output.txt,1.726,28.6,0.81,1.13,1.857,1.376,14.21,b,a,0
spice/generated/nor2_0060.cir,spice/outputs/nor2_0060_output.txt,1.686,115.6,0.948,1.085,1.837,1.754,11.23,a,b,0
spice/generated/nor2_0061.cir,spice/outputs/nor2_0061_output.txt,1.693,5.0,1.228,1.083,1.503,1.697,14.76,b,a,0
spice/generated/nor2_0062.cir,spice/outputs/nor2_0062_output.txt,1.952,121.8,1.301,1.86,1.388,1.494,2.6,b,a,0
spice/generated/nor2_0063.cir,spice/outputs/nor2_0063_output.txt,1.481,36.2,0.575,1.069,0.817,0.99,15.46,b,a,0
spice/generated/nor2_0064.cir,spice/outputs/nor2_0064_output.txt,1.567,116.9,1.132,1.752,1.205,1.624,1.99,b,a,0
spice/generated/nor2_0065.cir,spice/outputs/nor2_0065_output.txt,1.535,-28.7,1.936,0.56,0.547,0.871,16.95,a,b,0
spice/generated/nor2_0066.cir,spice/outputs/nor2_0066_output.txt,1.543,38.1,0.672,1.922,1.198,0.884,8.01,a,b,0
spice/generated/nor2_0067.cir,spice/outputs/nor2_0067_output.txt,1.867,-13.0,0.967,1.368,1.893,1.364,18.25,b,a,0
spice/generated/nor2_0068.cir,spice/outputs/nor2_0068_output.txt,1.638,78.0,0.614,1.536,1.441,0.653,15.68,a,b,0
spice/generated/nor2_0069.cir,spice/outputs/nor2_0069_output.txt,1.878,53.4,0.562,1.299,1.492,0.603,13.3,a,b,0
spice/generated/nor2_0070.cir,spice/outputs/nor2_0070_output.txt,1.91,95.7,0.658,1.941,1.453,1.743,14.44,b,a,0
spice/generated/nor2_0071.cir,spice/outputs/nor2_0071_output.txt,1.506,46.1,1.476,1.424,1.879,1.662,9.83,b,a,0
spice/generated/nor2_0072.cir,spice/outputs/nor2_0072_output.txt,1.593,0.5,1.902,0.918,1.176,1.626,11.83,b,a,0
spice/generated/nor2_0073.cir,spice/outputs/nor2_0073_output.txt,1.602,41.6,0.988,1.231,1.032,0.888,6.31,b,a,0
spice/generated/nor2_0074.cir,spice/outputs/nor2_0074_output.txt,1.733,45.2,0.787,0.862,1.11,1.333,5.57,b,a,0
spice/generated/nor2_0075.cir,spice/outputs/nor2_0075_output.txt,1.788,41.0,1.689,0.64,0.832,1.538,6.82,b,a,0
spice/generated/nor2_0076.cir,spice/outputs/nor2_0076_output.txt,1.684,47.6,1.138,1.619,0.996,1.554,6.15,b,a,0
spice/generated/nor2_0077.cir,spice/outputs/nor2_0077_output.txt,1.538,79.0,0.973,1.614,1.926,1.535,4.64,b,a,0
spice/generated/nor2_0078.cir,spice/outputs/nor2_0078_output.txt,1.566,57.3,1.64,1.395,1.971,1.749,6.63,b,a,0
spice/generated/nor2_0079.cir,spice/outputs/nor2_0079_output.txt,1.508,-37.7,1.301,0.911,1.961,1.33,14.25,a,b,0
spice/generated/nor2_0080.cir,spice/outputs/nor2_0080_output.txt,1.783,84.2,0.654,0.518,0.927,1.218,7.47,a,b,0
spice/generated/nor2_0081.cir,spice/outputs/nor2_0081_output.txt,1.551,102.2,0.671,0.598,1.238,1.366,14.04,a,b,0
spice/generated/nor2_0082.cir,spice/outputs/nor2_0082_output.txt,1.49,52.9,0.956,1.991,0.678,1.647,12.52,a,b,0
spice/generated/nor2_0083.cir,spice/outputs/nor2_0083_output.txt,1.865,22.8,1.863,0.946,1.383,1.143,11.8,a,b,0
spice/generated/nor2_0084.cir,spice/outputs/nor2_0084_output.txt,1.766,82.1,1.921,0.812,0.817,1.491,3.98,a,b,0
spice/generated/nor2_0085.cir,spice/outputs/nor2_0085_output.txt,1.731,-14.2,1.113,1.534,1.205,0.549,6.47,b,a,0
spice/generated/nor2_0086.cir,spice/outputs/nor2_0086_output.txt,1.822,34.9,1.531,1.886,1.682,1.438,13.56,a,b,0
spice/generated/nor2_0087.cir,spice/outputs/nor2_0087_output.txt,1.655,49.9,1.471,1.863,1.74,0.607,4.15,b,a,0
spice/generated/nor2_0088.cir,spice/outputs/nor2_0088_output.txt,1.757,96.0,1.882,1.159,1.203,0.956,8.65,b,a,0
spice/generated/nor2_0089.cir,spice/outputs/nor2_0089_output.txt,1.7,41.5,0.621,0.56,1.148,0.983,5.76,a,b,0
spice/generated/nor2_0090.cir,spice/outputs/nor2_0090_output.txt,1.537,71.3,1.791,1.381,0.531,1.647,16.61,a,b,0
spice/generated/nor2_0091.cir,spice/outputs/nor2_0091_output.txt,1.858,-11.1,1.278,1.163,0.917,1.995,9.28,b,a,0
spice/generated/nor2_0092.cir,spice/outputs/nor2_0092_output.txt,1.981,37.6,1.113,0.982,0.657,0.741,8.82,b,a,0
spice/generated/nor2_0093.cir,spice/outputs/nor2_0093_output.txt,1.573,116.0,1.72,1.325,1.182,0.972,7.14,b,a,0
spice/generated/nor2_0094.cir,spice/outputs/nor2_0094_output.txt,1.919,96.1,0.502,1.804,1.193,0.581,10.85,b,a,0
spice/generated/nor2_0095.cir,spice/outputs/nor2_0095_output.txt,1.775,85.4,0.805,1.324,1.892,1.157,14.27,a,b,0
spice/generated/nor2_0096.cir,spice/outputs/nor2_0096_output.txt,1.417,64.0,1.699,1.565,0.966,0.521,8.75,a,b,0
spice/generated/nor2_0097.cir,spice/outputs/nor2_0097_output.txt,1.995,110.6,1.192,0.676,1.748,1.248,14.62,b,a,0
spice/generated/nor2_0098.cir,spice/outputs/nor2_0098_output.txt,1.649,39.6,1.208,1.185,0.717,0.786,12.39,a,b,0
spice/generated/nor2_0099.cir,spice/outputs/nor2_0099_output.txt,1.918,5.6,1.685,1.122,1.901,1.262,16.59,b,a,0
spice/generated/nor2_0100.cir,spice/outputs/nor2_0100_output.txt,1.836,98.2,1.37,1.49,1.798,1.17,10.2,b,a,0
spice/generated/nor2_0101.cir,spice/outputs/nor2_0101_output.txt,1.731,49.7,1.183,0.983,0.783,1.546,11.86,a,b,0
spice/generated/nor2_0102.cir,spice/outputs/nor2_0102_output.txt,1.914,27.8,0.977,1.209,1.87,1.072,19.78,a,b,0
spice/generated/nor2_0103.cir,spice/outputs/nor2_0103_output.txt,1.697,-33.9,1.253,1.385,1.805,1.811,9.37,b,a,0
spice/generated/nor2_0104.cir,spice/outputs/nor2_0104_output.txt,1.409,-16.2,1.806,1.955,0.612,1.672,6.04,b,a,0
spice/generated/nor2_0105.cir,spice/outputs/nor2_0105_output.txt,1.79,100.5,1.779,1.789,1.07,0.975,14.66,b,a,0
spice/generated/nor2_0106.cir,spice/outputs/nor2_0106_output.txt,1.923,-34.1,0.603,1.447,1.881,1.996,15.19,b,a,0
spice/generated/nor2_0107.cir,spice/outputs/nor2_0107_output.txt,1.987,85.5,1.556,0.651,0.75,0.949,1.55,b,a,0
spice/generated/nor2_0108.cir,spice/outputs/nor2_0108_output.txt,1.878,8.4,1.062,0.718,1.297,1.349,16.06,a,b,0
spice/generated/nor2_0109.cir,spice/outputs/nor2_0109_output.txt,1.505,60.6,1.074,1.525,1.247,1.375,5.41,b,a,0
spice/generated/nor2_0110.cir,spice/outputs/nor2_0110_output.txt,1.676,70.0,1.848,1.198,0.931,1.32,2.4,b,a,0
spice/generated/nor2_0111.cir,spice/outputs/nor2_0111_output.txt,1.993,9.4,1.943,1.535,1.185,0.953,19.99,b,a,0
spice/generated/nor2_0112.cir,spice/outputs/nor2_0112_output.txt,1.464,22.9,1.038,0.944,1.549,0.533,16.77,b,a,0
spice/generated/nor2_0113.cir,spice/outputs/nor2_0113_output.txt,1.565,53.4,1.529,1.617,0.574,1.41,10.44,b,a,0
spice/generated/nor2_0114.cir,spice/outputs/nor2_0114_output.txt,1.865,-2.0,1.703,0.829,0.785,0.876,15.36,a,b,0
spice/generated/nor2_0115.cir,spice/outputs/nor2_0115_output.txt,1.777,109.1,1.47,0.963,1.161,1.369,14.91,a,b,0
spice/generated/nor2_0116.cir,spice/outputs/nor2_0116_output.txt,1.946,13.9,1.123,0.801,1.68,1.815,7.95,b,a,0
spice/generated/nor2_0117.cir,spice/outputs/nor2_0117_output.txt,1.898,2.4,1.737,1.223,1.71,1.62,7.44,a,b,0
spice/generated/nor2_0118.cir,spice/outputs/nor2_0118_output.txt,1.681,-27.6,1.631,0.838,1.514,1.512,8.55,b,a,0
spice/generated/nor2_0119.cir,spice/outputs/nor2_0119_output.txt,1.454,25.1,0.897,0.685,1.053,1.624,5.98,b,a,0
spice/generated/nor2_0120.cir,spice/outputs/nor2_0120_output.txt,1.893,115.1,0.663,0.851,0.538,1.826,11.67,a,b,0
spice/generated/nor2_0121.cir,spice/outputs/nor2_0121_output.txt,1.789,64.8,1.196,1.552,1.474,0.675,1.86,a,b,0
spice/generated/nor2_0122.cir,spice/outputs/nor2_0122_output.txt,1.583,41.3,0.646,1.831,0.703,1.18,13.74,b,a,0
spice/generated/nor2_0123.cir,spice/outputs/nor2_0123_output.txt,1.752,79.9,1.828,1.482,1.751,1.423,18.84,b,a,0
spice/generated/nor2_0124.cir,spice/outputs/nor2_0124_output.txt,1.42,21.1,1.165,1.926,1.783,0.649,14.03,b,a,0
spice/generated/nor2_0125.cir,spice/outputs/nor2_0125_output.txt,1.436,5.5,1.952,1.924,1.736,0.638,5.03,a,b,0
spice/generated/nor2_0126.cir,spice/outputs/nor2_0126_output.txt,1.43,15.0,1.983,1.68,0.808,1.745,11.53,a,b,0
spice/generated/nor2_0127.cir,spice/outputs/nor2_0127_output.txt,1.888,-1.6,1.662,1.683,1.394,0.916,19.7,a,b,0
spice/generated/nor2_0128.cir,spice/outputs/nor2_0128_output.txt,1.724,91.8,0.665,1.8,0.698,1.037,15.98,b,a,0
spice/generated/nor2_0129.cir,spice/outputs/nor2_0129_output.txt,1.409,3.8,0.69,1.131,0.67,0.595,9.52,b,a,0
spice/generated/nor2_0130.cir,spice/outputs/nor2_0130_output.txt,1.708,-22.0,1.256,1.918,0.565,1.675,17.47,b,a,0
spice/generated/nor2_0131.cir,spice/outputs/nor2_0131_output.txt,1.675,119.1,0.591,1.218,1.102,1.529,10.32,b,a,0
spice/generated/nor2_0132.cir,spice/outputs/nor2_0132_output.txt,1.444,-26.7,1.412,0.599,0.913,1.45,11.42,b,a,0
spice/generated/nor2_0133.cir,spice/outputs/nor2_0133_output.txt,1.629,58.6,0.942,1.258,1.145,1.69,3.17,a,b,0
spice/generated/nor2_0134.cir,spice/outputs/nor2_0134_output.txt,1.658,106.5,1.121,1.741,1.098,1.594,6.94,b,a,0
spice/generated/nor2_0135.cir,spice/outputs/nor2_0135_output.txt,1.799,21.8,0.729,1.884,0.601,1.748,2.77,a,b,0
spice/generated/nor2_0136.cir,spice/outputs/nor2_0136_output.txt,1.847,21.5,0.695,0.59,1.935,1.343,13.73,b,a,0
spice/generated/nor2_0137.cir,spice/outputs/nor2_0137_output.txt,1.612,69.8,1.625,1.802,1.582,1.953,12.41,b,a,0
spice/generated/nor2_0138.cir,spice/outputs/nor2_0138_output.txt,1.462,43.7,0.732,1.223,1.771,1.025,11.57,a,b,0
spice/generated/nor2_0139.cir,spice/outputs/nor2_0139_output.txt,1.858,54.7,1.711,1.768,1.962,1.728,12.66,a,b,0
spice/generated/nor2_0140.cir,spice/outputs/nor2_0140_output.txt,1.765,68.5,1.54,0.543,0.91,1.644,18.51,b,a,0
spice/generated/nor2_0141.cir,spice/outputs/nor2_0141_output.txt,1.404,103.5,1.349,1.101,0.713,1.45,1.58,a,b,0
spice/generated/nor2_0142.cir,spice/outputs/nor2_0142_output.txt,1.626,34.9,0.736,0.967,0.987,1.912,12.33,a,b,0
spice/generated/nor2_0143.cir,spice/outputs/nor2_0143_output.txt,1.493,84.5,0.575,0.622,1.165,1.136,12.53,b,a,0
spice/generated/nor2_0144.cir,spice/outputs/nor2_0144_output.txt,1.564,84.6,0.671,1.145,0.925,1.518,10.25,b,a,0
spice/generated/nor2_0145.cir,spice/outputs/nor2_0145_output.txt,1.427,25.2,1.399,0.512,0.952,0.817,3.61,b,a,0
spice/generated/nor2_0146.cir,spice/outputs/nor2_0146_output.txt,1.574,-20.2,1.246,1.146,0.694,1.299,5.37,b,a,0
spice/generated/nor2_0147.cir,spice/outputs/nor2_0147_output.txt,1.443,102.2,0.563,0.528,1.882,1.793,11.94,b,a,0
spice/generated/nor2_0148.cir,spice/outputs/nor2_0148_output.txt,1.826,28.9,0.673,0.531,0.987,1.702,12.74,b,a,0
spice/generated/nor2_0149.cir,spice/outputs/nor2_0149_output.txt,1.453,99.3,0.865,1.383,1.286,1.094,6.9,b,a,0
spice/generated/nor2_0150.cir,spice/outputs/nor2_0150_output.txt,1.533,88.6,0.615,1.45,1.296,0.791,15.75,b,a,0
spice/generated/nor2_0151.cir,spice/outputs/nor2_0151_output.txt,1.836,95.1,1.723,0.854,0.72,0.796,12.45,a,b,0
spice/generated/nor2_0152.cir,spice/outputs/nor2_0152_output.txt,1.506,87.5,1.241,1.632,1.64,1.173,18.56,b,a,0
spice/generated/nor2_0153.cir,spice/outputs/nor2_0153_output.txt,1.919,63.5,0.726,0.602,1.163,0.954,6.22,a,b,0
spice/generated/nor2_0154.cir,spice/outputs/nor2_0154_output.txt,1.611,-27.8,1.193,0.556,1.053,0.931,13.25,a,b,0
spice/generated/nor2_0155.cir,spice/outputs/nor2_0155_output.txt,1.769,43.7,1.194,1.331,1.688,1.844,9.54,a,b,0
spice/generated/nor2_0156.cir,spice/outputs/nor2_0156_output.txt,1.593,38.5,0.726,0.593,0.655,1.849,7.53,a,b,0
spice/generated/nor2_0157.cir,spice/outputs/nor2_0157_output.txt,1.703,-11.5,0.872,1.157,1.159,1.284,4.02,b,a,0
spice/generated/nor2_0158.cir,spice/outputs/nor2_0158_output.txt,1.951,23.9,1.662,1.518,0.579,1.446,7.36,b,a,0
spice/generated/nor2_0159.cir,spice/outputs/nor2_0159_output.txt,1.457,71.9,0.926,1.586,1.485,1.86,17.59,b,a,0
spice/generated/nor2_0160.cir,spice/outputs/nor2_0160_output.txt,1.449,69.5,1.875,0.965,1.484,1.493,3.45,a,b,0
spice/generated/nor2_0161.cir,spice/outputs/nor2_0161_output.txt,1.586,22.2,1.687,1.72,1.505,1.743,15.04,a,b,0
spice/generated/nor2_0162.cir,spice/outputs/nor2_0162_output.txt,1.788,29.9,1.043,1.044,0.77,0.821,19.01,b,a,0
spice/generated/nor2_0163.cir,spice/outputs/nor2_0163_output.txt,1.515,125.0,0.732,0.944,1.682,1.262,11.26,a,b,0
spice/generated/nor2_0164.cir,spice/outputs/nor2_0164_output.txt,1.797,104.6,1.427,1.396,0.731,0.771,14.16,a,b,0
spice/generated/nor2_0165.cir,spice/outputs/nor2_0165_output.txt,1.833,-32.8,1.046,1.579,1.954,1.416,15.3,b,a,0
spice/generated/nor2_0166.cir,spice/outputs/nor2_0166_output.txt,1.54,-0.5,1.948,1.677,1.856,0.791,13.89,b,a,0
spice/generated/nor2_0167.cir,spice/outputs/nor2_0167_output.txt,1.677,6.5,1.073,1.291,1.949,1.725,16.22,a,b,0
spice/generated/nor2_0168.cir,spice/outputs/nor2_0168_output.txt,1.924,-31.4,1.221,1.057,1.901,1.567,10.8,a,b,0
spice/generated/nor2_0169.cir,spice/outputs/nor2_0169_output.txt,1.571,85.9,0.909,1.858,0.721,1.156,18.98,a,b,0
spice/generated/nor2_0170.cir,spice/outputs/nor2_0170_output.txt,1.89,106.0,1.896,1.122,1.095,1.061,8.34,a,b,0
spice/generated/nor2_0171.cir,spice/outputs/nor2_0171_output.txt,1.625,-35.3,1.896,1.759,1.475,1.687,3.61,b,a,0
spice/generated/nor2_0172.cir,spice/outputs/nor2_0172_output.txt,1.95,38.0,1.747,1.638,1.204,1.423,18.21,a,b,0
spice/generated/nor2_0173.cir,spice/outputs/nor2_0173_output.txt,1.554,97.8,1.323,1.591,1.292,0.667,6.47,b,a,0
spice/generated/nor2_0174.cir,spice/outputs/nor2_0174_output.txt,1.473,-0.7,1.458,1.434,0.594,1.755,10.5,a,b,0
spice/generated/nor2_0175.cir,spice/outputs/nor2_0175_output.txt,1.779,54.9,1.578,0.937,0.502,1.029,11.84,a,b,0
spice/generated/nor2_0176.cir,spice/outputs/nor2_0176_output.txt,1.799,-25.9,1.962,0.602,1.289,1.261,19.78,a,b,0
spice/generated/nor2_0177.cir,spice/outputs/nor2_0177_output.txt,1.634,37.6,1.454,1.972,0.88,0.524,15.98,b,a,0
spice/generated/nor2_0178.cir,spice/outputs/nor2_0178_output.txt,1.545,68.4,0.655,1.373,1.635,0.7,7.69,b,a,0
spice/generated/nor2_0179.cir,spice/outputs/nor2_0179_output.txt,1.888,-11.1,1.669,1.197,1.543,1.448,16.42,a,b,0
spice/generated/nor2_0180.cir,spice/outputs/nor2_0180_output.txt,1.83,115.7,0.555,0.802,1.687,1.829,7.0,b,a,0
spice/generated/nor2_0181.cir,spice/outputs/nor2_0181_output.txt,1.709,123.2,1.315,0.88,1.63,0.787,7.78,a,b,0
spice/generated/nor2_0182.cir,spice/outputs/nor2_0182_output.txt,1.919,14.8,0.687,1.052,1.834,1.615,18.0,b,a,0
spice/generated/nor2_0183.cir,spice/outputs/nor2_0183_output.txt,1.603,-9.2,1.538,1.051,1.696,0.9,2.57,b,a,0
spice/generated/nor2_0184.cir,spice/outputs/nor2_0184_output.txt,1.447,59.4,1.734,1.318,0.982,0.62,13.56,b,a,0
spice/generated/nor2_0185.cir,spice/outputs/nor2_0185_output.txt,1.668,78.4,0.75,1.166,1.171,1.59,18.32,b,a,0
spice/generated/nor2_0186.cir,spice/outputs/nor2_0186_output.txt,1.565,121.7,1.922,0.613,1.456,1.045,16.22,a,b,0
spice/generated/nor2_0187.cir,spice/outputs/nor2_0187_output.txt,1.972,-16.4,1.411,1.672,0.552,0.601,15.79,b,a,0
spice/generated/nor2_0188.cir,spice/outputs/nor2_0188_output.txt,1.617,116.7,0.549,0.73,1.175,1.056,9.43,a,b,0
spice/generated/nor2_0189.cir,spice/outputs/nor2_0189_output.txt,1.744,47.4,1.097,1.474,0.874,0.67,14.98,b,a,0
spice/generated/nor2_0190.cir,spice/outputs/nor2_0190_output.txt,1.711,110.7,0.677,1.662,1.556,0.822,12.63,b,a,0
spice/generated/nor2_0191.cir,spice/outputs/nor2_0191_output.txt,1.52,-17.6,0.611,0.759,1.57,1.996,16.4,b,a,0
spice/generated/nor2_0192.cir,spice/outputs/nor2_0192_output.txt,1.801,77.1,1.325,0.936,0.95,0.736,14.48,a,b,0
spice/generated/nor2_0193.cir,spice/outputs/nor2_0193_output.txt,1.876,43.9,0.682,0.801,0.708,1.686,1.5,b,a,0
spice/generated/nor2_0194.cir,spice/outputs/nor2_0194_output.txt,1.68,122.2,0.695,1.826,0.599,1.097,14.62,b,a,0
spice/generated/nor2_0195.cir,spice/outputs/nor2_0195_output.txt,1.715,86.9,1.735,0.611,1.959,1.464,9.55,b,a,0
spice/generated/nor2_0196.cir,spice/outputs/nor2_0196_output.txt,1.477,96.8,1.327,1.382,1.652,0.694,10.55,a,b,0
spice/generated/nor2_0197.cir,spice/outputs/nor2_0197_output.txt,1.899,45.5,0.956,0.743,1.902,0.838,19.0,b,a,0
spice/generated/nor2_0198.cir,spice/outputs/nor2_0198_output.txt,1.908,1.3,1.453,1.326,0.688,0.954,11.14,a,b,0
spice/generated/nor2_0199.cir,spice/outputs/nor2_0199_output.txt,1.755,55.8,0.757,1.437,1.853,1.006,18.55,a,b,0
