deck_file,output_file,vdd,temp,width_p,width_n,cload
spice/generated/inverter_0081.cir,spice/outputs/inverter_0081_output.txt,1.502,-26.0,1.273,1.449,7.37
spice/generated/inverter_0082.cir,spice/outputs/inverter_0082_output.txt,1.891,83.9,1.509,0.837,4.78
spice/generated/inverter_0083.cir,spice/outputs/inverter_0083_output.txt,1.415,0.4,1.213,1.775,2.38
spice/generated/inverter_0084.cir,spice/outputs/inverter_0084_output.txt,1.649,63.9,0.792,1.545,10.39
spice/generated/inverter_0085.cir,spice/outputs/inverter_0085_output.txt,1.546,68.2,0.508,1.626,15.63
spice/generated/inverter_0086.cir,spice/outputs/inverter_0086_output.txt,1.464,30.1,0.764,1.937,10.84
spice/generated/inverter_0087.cir,spice/outputs/inverter_0087_output.txt,1.43,1.1,1.773,1.185,16.23
spice/generated/inverter_0088.cir,spice/outputs/inverter_0088_output.txt,1.801,123.0,1.393,1.925,17.94
spice/generated/inverter_0089.cir,spice/outputs/inverter_0089_output.txt,1.768,78.7,1.257,1.746,11.41
spice/generated/inverter_0090.cir,spice/outputs/inverter_0090_output.txt,1.938,82.7,1.212,0.889,5.7
spice/generated/inverter_0091.cir,spice/outputs/inverter_0091_output.txt,1.783,86.4,1.282,1.44,6.22
spice/generated/inverter_0092.cir,spice/outputs/inverter_0092_output.txt,1.446,7.1,0.908,0.98,11.26
spice/generated/inverter_0093.cir,spice/outputs/inverter_0093_output.txt,1.483,-1.8,1.541,1.56,2.22
spice/generated/inverter_0094.cir,spice/outputs/inverter_0094_output.txt,1.645,49.5,1.124,0.81,8.98
spice/generated/inverter_0095.cir,spice/outputs/inverter_0095_output.txt,1.943,56.4,1.543,1.785,15.55
spice/generated/inverter_0096.cir,spice/outputs/inverter_0096_output.txt,1.628,-39.0,1.028,1.63,17.22
spice/generated/inverter_0097.cir,spice/outputs/inverter_0097_output.txt,1.972,29.1,1.621,1.319,12.46
spice/generated/inverter_0098.cir,spice/outputs/inverter_0098_output.txt,1.532,-3.8,1.154,0.544,7.39
spice/generated/inverter_0099.cir,spice/outputs/inverter_0099_output.txt,1.807,26.7,0.748,1.201,3.42
spice/generated/inverter_0100.cir,spice/outputs/inverter_0100_output.txt,1.773,-35.6,1.091,1.347,1.51
spice/generated/inverter_0101.cir,spice/outputs/inverter_0101_output.txt,1.786,-17.6,1.193,0.575,8.2
spice/generated/inverter_0102.cir,spice/outputs/inverter_0102_output.txt,1.527,13.9,1.642,1.069,15.29
spice/generated/inverter_0103.cir,spice/outputs/inverter_0103_output.txt,1.899,1.6,0.623,0.529,11.25
spice/generated/inverter_0104.cir,spice/outputs/inverter_0104_output.txt,2.0,17.7,1.475,1.672,13.38
spice/generated/inverter_0105.cir,spice/outputs/inverter_0105_output.txt,1.853,116.7,0.799,0.531,3.9
spice/generated/inverter_0106.cir,spice/outputs/inverter_0106_output.txt,1.476,70.5,1.346,0.827,14.29
spice/generated/inverter_0107.cir,spice/outputs/inverter_0107_output.txt,1.86,-12.3,1.411,1.622,3.18
spice/generated/inverter_0108.cir,spice/outputs/inverter_0108_output.txt,1.892,119.2,0.662,0.539,6.93
spice/generated/inverter_0109.cir,spice/outputs/inverter_0109_output.txt,1.806,118.1,1.095,1.573,2.44
spice/generated/inverter_0110.cir,spice/outputs/inverter_0110_output.txt,1.814,63.5,0.653,1.659,17.16
spice/generated/inverter_0111.cir,spice/outputs/inverter_0111_output.txt,1.76,-20.0,1.976,1.674,7.6
spice/generated/inverter_0112.cir,spice/outputs/inverter_0112_output.txt,1.657,21.1,1.259,1.012,17.14
spice/generated/inverter_0113.cir,spice/outputs/inverter_0113_output.txt,1.893,-22.6,1.941,1.453,16.75
spice/generated/inverter_0114.cir,spice/outputs/inverter_0114_output.txt,1.824,31.9,1.601,1.948,6.13
spice/generated/inverter_0115.cir,spice/outputs/inverter_0115_output.txt,1.885,48.8,1.225,1.153,14.89
spice/generated/inverter_0116.cir,spice/outputs/inverter_0116_output.txt,1.561,100.5,1.746,0.63,17.75
spice/generated/inverter_0117.cir,spice/outputs/inverter_0117_output.txt,1.546,36.7,1.415,1.068,1.55
spice/generated/inverter_0118.cir,spice/outputs/inverter_0118_output.txt,1.911,-10.0,0.818,1.697,7.47
spice/generated/inverter_0119.cir,spice/outputs/inverter_0119_output.txt,1.928,75.7,0.914,0.515,19.01
spice/generated/inverter_0120.cir,spice/outputs/inverter_0120_output.txt,1.451,78.8,1.233,1.637,14.12
spice/generated/inverter_0121.cir,spice/outputs/inverter_0121_output.txt,1.788,41.0,1.689,0.64,5.21
spice/generated/inverter_0122.cir,spice/outputs/inverter_0122_output.txt,1.815,10.5,1.372,1.21,11.09
spice/generated/inverter_0123.cir,spice/outputs/inverter_0123_output.txt,1.655,83.1,0.996,1.554,6.15
spice/generated/inverter_0124.cir,spice/outputs/inverter_0124_output.txt,1.551,-20.1,0.789,0.679,11.18
spice/generated/inverter_0125.cir,spice/outputs/inverter_0125_output.txt,1.857,-9.5,0.825,1.226,14.77
spice/generated/inverter_0126.cir,spice/outputs/inverter_0126_output.txt,1.986,46.6,0.924,0.651,4.69
spice/generated/inverter_0127.cir,spice/outputs/inverter_0127_output.txt,1.536,-10.4,0.521,1.301,6.21
spice/generated/inverter_0128.cir,spice/outputs/inverter_0128_output.txt,1.985,51.3,1.546,0.689,17.5
spice/generated/inverter_0129.cir,spice/outputs/inverter_0129_output.txt,1.695,104.0,1.361,1.204,9.37
spice/generated/inverter_0130.cir,spice/outputs/inverter_0130_output.txt,1.511,-31.5,1.912,1.217,16.62
spice/generated/inverter_0131.cir,spice/outputs/inverter_0131_output.txt,1.64,-27.8,1.444,0.58,3.83
spice/generated/inverter_0132.cir,spice/outputs/inverter_0132_output.txt,1.738,10.1,1.991,0.678,15.52
spice/generated/inverter_0133.cir,spice/outputs/inverter_0133_output.txt,1.764,90.5,0.839,1.284,9.56
spice/generated/inverter_0134.cir,spice/outputs/inverter_0134_output.txt,1.666,101.9,1.985,0.958,12.8
spice/generated/inverter_0135.cir,spice/outputs/inverter_0135_output.txt,1.766,82.1,1.921,0.812,5.01
spice/generated/inverter_0136.cir,spice/outputs/inverter_0136_output.txt,1.796,-14.1,0.761,0.613,1.05
spice/generated/inverter_0137.cir,spice/outputs/inverter_0137_output.txt,1.67,58.0,0.937,0.847,14.43
spice/generated/inverter_0138.cir,spice/outputs/inverter_0138_output.txt,1.822,34.9,1.531,1.886,15.97
spice/generated/inverter_0139.cir,spice/outputs/inverter_0139_output.txt,1.775,69.1,1.901,1.138,11.35
spice/generated/inverter_0140.cir,spice/outputs/inverter_0140_output.txt,1.789,109.9,1.74,0.607,4.15
spice/generated/inverter_0141.cir,spice/outputs/inverter_0141_output.txt,1.585,83.6,1.354,0.933,3.36
spice/generated/inverter_0142.cir,spice/outputs/inverter_0142_output.txt,1.813,75.5,1.914,1.251,10.38
spice/generated/inverter_0143.cir,spice/outputs/inverter_0143_output.txt,1.448,-33.4,1.148,0.983,5.76
spice/generated/inverter_0144.cir,spice/outputs/inverter_0144_output.txt,1.455,118.7,1.754,1.363,19.06
spice/generated/inverter_0145.cir,spice/outputs/inverter_0145_output.txt,2.0,70.9,0.904,0.56,15.37
spice/generated/inverter_0146.cir,spice/outputs/inverter_0146_output.txt,1.682,67.5,1.874,0.772,12.12
spice/generated/inverter_0147.cir,spice/outputs/inverter_0147_output.txt,1.781,41.1,0.637,1.022,7.33
spice/generated/inverter_0148.cir,spice/outputs/inverter_0148_output.txt,1.802,101.5,0.995,1.541,6.48
spice/generated/inverter_0149.cir,spice/outputs/inverter_0149_output.txt,1.967,94.2,1.325,1.182,6.98
spice/generated/inverter_0150.cir,spice/outputs/inverter_0150_output.txt,1.594,120.1,1.106,1.272,19.77
spice/generated/inverter_0151.cir,spice/outputs/inverter_0151_output.txt,1.795,49.5,1.12,0.781,7.87
spice/generated/inverter_0152.cir,spice/outputs/inverter_0152_output.txt,1.854,63.2,1.64,0.805,11.44
spice/generated/inverter_0153.cir,spice/outputs/inverter_0153_output.txt,1.957,32.3,1.547,0.682,19.49
spice/generated/inverter_0154.cir,spice/outputs/inverter_0154_output.txt,1.765,-0.5,0.738,1.326,11.49
spice/generated/inverter_0155.cir,spice/outputs/inverter_0155_output.txt,1.456,123.7,1.869,1.192,3.23
spice/generated/inverter_0156.cir,spice/outputs/inverter_0156_output.txt,1.899,42.2,1.575,1.263,6.2
spice/generated/inverter_0157.cir,spice/outputs/inverter_0157_output.txt,1.901,121.7,0.866,1.327,8.29
spice/generated/inverter_0158.cir,spice/outputs/inverter_0158_output.txt,1.953,43.9,1.819,1.796,6.25
spice/generated/inverter_0159.cir,spice/outputs/inverter_0159_output.txt,1.874,28.5,1.901,1.262,16.59
spice/generated/inverter_0160.cir,spice/outputs/inverter_0160_output.txt,1.57,9.3,1.38,1.998,10.3
spice/generated/inverter_0161.cir,spice/outputs/inverter_0161_output.txt,1.489,48.9,1.018,1.328,11.33
spice/generated/inverter_0162.cir,spice/outputs/inverter_0162_output.txt,1.673,13.1,0.783,1.546,11.86
spice/generated/inverter_0163.cir,spice/outputs/inverter_0163_output.txt,1.54,88.0,0.565,1.617,14.4
spice/generated/inverter_0164.cir,spice/outputs/inverter_0164_output.txt,1.887,23.7,1.496,1.731,19.64
spice/generated/inverter_0165.cir,spice/outputs/inverter_0165_output.txt,1.697,-33.9,1.253,1.385,17.52
spice/generated/inverter_0166.cir,spice/outputs/inverter_0166_output.txt,1.925,32.7,1.289,1.185,14.73
spice/generated/inverter_0167.cir,spice/outputs/inverter_0167_output.txt,1.646,68.0,0.732,1.204,19.41
spice/generated/inverter_0168.cir,spice/outputs/inverter_0168_output.txt,1.603,74.3,1.475,1.778,17.19
spice/generated/inverter_0169.cir,spice/outputs/inverter_0169_output.txt,1.916,22.7,0.975,1.578,15.43
spice/generated/inverter_0170.cir,spice/outputs/inverter_0170_output.txt,1.923,-34.1,0.603,1.447,18.5
spice/generated/inverter_0171.cir,spice/outputs/inverter_0171_output.txt,1.998,83.2,1.151,0.648,13.04
spice/generated/inverter_0172.cir,spice/outputs/inverter_0172_output.txt,1.924,33.2,1.541,1.855,1.87
spice/generated/inverter_0173.cir,spice/outputs/inverter_0173_output.txt,1.878,8.4,1.062,0.718,11.09
spice/generated/inverter_0174.cir,spice/outputs/inverter_0174_output.txt,1.74,90.8,0.755,0.618,17.55
spice/generated/inverter_0175.cir,spice/outputs/inverter_0175_output.txt,1.772,-0.3,1.869,0.715,9.76
spice/generated/inverter_0176.cir,spice/outputs/inverter_0176_output.txt,1.552,2.1,0.514,1.707,18.12
spice/generated/inverter_0177.cir,spice/outputs/inverter_0177_output.txt,1.807,-13.9,1.163,1.018,12.16
spice/generated/inverter_0178.cir,spice/outputs/inverter_0178_output.txt,1.783,30.0,0.875,1.768,4.79
spice/generated/inverter_0179.cir,spice/outputs/inverter_0179_output.txt,1.631,39.7,0.856,1.358,11.92
spice/generated/inverter_0180.cir,spice/outputs/inverter_0180_output.txt,1.996,8.7,1.967,1.487,6.22
spice/generated/inverter_0181.cir,spice/outputs/inverter_0181_output.txt,1.74,73.2,1.617,0.574,12.52
spice/generated/inverter_0182.cir,spice/outputs/inverter_0182_output.txt,1.698,109.2,0.929,1.698,12.53
spice/generated/inverter_0183.cir,spice/outputs/inverter_0183_output.txt,1.611,65.0,1.431,1.517,14.7
spice/generated/inverter_0184.cir,spice/outputs/inverter_0184_output.txt,1.796,98.3,1.442,1.855,13.28
spice/generated/inverter_0185.cir,spice/outputs/inverter_0185_output.txt,1.585,32.7,1.369,1.599,2.71
spice/generated/inverter_0186.cir,spice/outputs/inverter_0186_output.txt,1.577,83.3,0.763,0.698,11.25
spice/generated/inverter_0187.cir,spice/outputs/inverter_0187_output.txt,1.983,47.6,1.87,1.746,5.88
spice/generated/inverter_0188.cir,spice/outputs/inverter_0188_output.txt,1.895,39.5,1.71,1.62,7.44
spice/generated/inverter_0189.cir,spice/outputs/inverter_0189_output.txt,1.469,118.9,0.711,1.95,17.34
spice/generated/inverter_0190.cir,spice/outputs/inverter_0190_output.txt,1.835,121.7,1.951,1.707,7.95
spice/generated/inverter_0191.cir,spice/outputs/inverter_0191_output.txt,1.874,-37.7,1.305,1.182,13.78
spice/generated/inverter_0192.cir,spice/outputs/inverter_0192_output.txt,1.803,56.5,1.734,1.91,3.06
spice/generated/inverter_0193.cir,spice/outputs/inverter_0193_output.txt,1.54,-35.9,1.826,1.342,18.39
spice/generated/inverter_0194.cir,spice/outputs/inverter_0194_output.txt,1.533,-29.6,1.736,1.864,6.74
spice/generated/inverter_0195.cir,spice/outputs/inverter_0195_output.txt,1.645,-16.9,1.919,0.957,10.36
spice/generated/inverter_0196.cir,spice/outputs/inverter_0196_output.txt,1.458,106.4,0.703,1.18,13.74
spice/generated/inverter_0197.cir,spice/outputs/inverter_0197_output.txt,1.846,116.1,1.129,1.613,3.94
spice/generated/inverter_0198.cir,spice/outputs/inverter_0198_output.txt,1.649,-23.7,1.234,1.112,19.08
spice/generated/inverter_0199.cir,spice/outputs/inverter_0199_output.txt,1.42,21.1,1.165,1.926,17.25
spice/generated/inverter_0200.cir,spice/outputs/inverter_0200_output.txt,1.46,73.1,1.317,1.967,7.81
spice/generated/inverter_0201.cir,spice/outputs/inverter_0201_output.txt,1.639,-8.7,0.683,1.772,9.64
spice/generated/inverter_0202.cir,spice/outputs/inverter_0202_output.txt,1.798,65.9,1.396,0.532,15.95
spice/generated/inverter_0203.cir,spice/outputs/inverter_0203_output.txt,1.546,-19.2,1.347,0.603,15.54
spice/generated/inverter_0204.cir,spice/outputs/inverter_0204_output.txt,1.524,-4.4,1.805,0.993,3.8
spice/generated/inverter_0205.cir,spice/outputs/inverter_0205_output.txt,1.94,-39.5,1.788,0.717,3.47
spice/generated/inverter_0206.cir,spice/outputs/inverter_0206_output.txt,1.55,-11.2,1.492,0.539,1.28
spice/generated/inverter_0207.cir,spice/outputs/inverter_0207_output.txt,1.874,-0.7,0.986,0.761,2.0
spice/generated/inverter_0208.cir,spice/outputs/inverter_0208_output.txt,1.845,46.8,1.618,1.214,15.78
spice/generated/inverter_0209.cir,spice/outputs/inverter_0209_output.txt,1.708,-22.0,1.256,1.918,1.82
spice/generated/inverter_0210.cir,spice/outputs/inverter_0210_output.txt,1.87,103.1,1.282,1.187,19.32
spice/generated/inverter_0211.cir,spice/outputs/inverter_0211_output.txt,1.436,39.0,1.102,1.529,10.32
spice/generated/inverter_0212.cir,spice/outputs/inverter_0212_output.txt,1.946,-27.9,0.621,1.412,2.25
spice/generated/inverter_0213.cir,spice/outputs/inverter_0213_output.txt,1.565,64.5,1.323,0.988,19.9
spice/generated/inverter_0214.cir,spice/outputs/inverter_0214_output.txt,1.718,34.9,1.408,0.649,14.33
spice/generated/inverter_0215.cir,spice/outputs/inverter_0215_output.txt,1.912,67.4,1.653,1.581,5.09
spice/generated/inverter_0216.cir,spice/outputs/inverter_0216_output.txt,1.671,-2.3,1.008,1.18,8.9
spice/generated/inverter_0217.cir,spice/outputs/inverter_0217_output.txt,1.457,30.4,1.498,1.061,3.9
spice/generated/inverter_0218.cir,spice/outputs/inverter_0218_output.txt,1.954,-28.9,1.748,0.64,2.83
spice/generated/inverter_0219.cir,spice/outputs/inverter_0219_output.txt,1.843,93.9,1.335,1.38,11.67
spice/generated/inverter_0220.cir,spice/outputs/inverter_0220_output.txt,1.598,-19.8,1.03,1.498,15.26
spice/generated/inverter_0221.cir,spice/outputs/inverter_0221_output.txt,1.921,79.0,1.953,1.401,7.68
spice/generated/inverter_0222.cir,spice/outputs/inverter_0222_output.txt,1.747,-4.9,1.485,0.836,3.06
spice/generated/inverter_0223.cir,spice/outputs/inverter_0223_output.txt,1.907,20.6,1.644,1.361,16.34
spice/generated/inverter_0224.cir,spice/outputs/inverter_0224_output.txt,1.907,120.8,1.728,1.42,13.21
spice/generated/inverter_0225.cir,spice/outputs/inverter_0225_output.txt,1.416,113.3,1.744,0.901,4.43
spice/generated/inverter_0226.cir,spice/outputs/inverter_0226_output.txt,1.822,11.0,1.01,0.509,17.53
spice/generated/inverter_0227.cir,spice/outputs/inverter_0227_output.txt,1.74,26.1,0.713,1.45,1.58
spice/generated/inverter_0228.cir,spice/outputs/inverter_0228_output.txt,1.848,-4.5,1.13,1.011,8.03
spice/generated/inverter_0229.cir,spice/outputs/inverter_0229_output.txt,1.833,88.2,1.351,0.627,2.0
spice/generated/inverter_0230.cir,spice/outputs/inverter_0230_output.txt,1.494,61.9,1.511,0.908,13.58
spice/generated/inverter_0231.cir,spice/outputs/inverter_0231_output.txt,1.691,32.9,0.91,1.632,3.16
spice/generated/inverter_0232.cir,spice/outputs/inverter_0232_output.txt,1.658,6.7,1.518,1.23,13.68
spice/generated/inverter_0233.cir,spice/outputs/inverter_0233_output.txt,1.427,25.2,1.399,0.512,6.73
spice/generated/inverter_0234.cir,spice/outputs/inverter_0234_output.txt,1.527,-17.4,0.883,0.992,1.15
spice/generated/inverter_0235.cir,spice/outputs/inverter_0235_output.txt,1.848,-11.0,1.07,1.556,10.5
spice/generated/inverter_0236.cir,spice/outputs/inverter_0236_output.txt,1.9,93.0,0.608,1.793,1.8
spice/generated/inverter_0237.cir,spice/outputs/inverter_0237_output.txt,1.411,112.0,1.793,1.364,11.89
spice/generated/inverter_0238.cir,spice/outputs/inverter_0238_output.txt,1.826,28.9,0.673,0.531,7.17
spice/generated/inverter_0239.cir,spice/outputs/inverter_0239_output.txt,1.881,62.0,1.748,1.88,2.67
spice/generated/inverter_0240.cir,spice/outputs/inverter_0240_output.txt,1.907,0.1,1.383,1.286,8.52
spice/generated/inverter_0241.cir,spice/outputs/inverter_0241_output.txt,1.586,16.0,1.0,0.752,10.7
spice/generated/inverter_0242.cir,spice/outputs/inverter_0242_output.txt,1.468,44.1,1.859,1.024,14.82
spice/generated/inverter_0243.cir,spice/outputs/inverter_0243_output.txt,1.891,94.5,0.854,0.72,4.75
spice/generated/inverter_0244.cir,spice/outputs/inverter_0244_output.txt,1.761,85.4,1.483,0.766,15.68
spice/generated/inverter_0245.cir,spice/outputs/inverter_0245_output.txt,1.696,84.5,1.64,1.173,18.56
spice/generated/inverter_0246.cir,spice/outputs/inverter_0246_output.txt,1.739,64.8,1.437,1.796,12.92
spice/generated/inverter_0247.cir,spice/outputs/inverter_0247_output.txt,1.491,-28.7,1.163,0.954,6.22
spice/generated/inverter_0248.cir,spice/outputs/inverter_0248_output.txt,1.434,43.7,0.966,1.178,2.08
spice/generated/inverter_0249.cir,spice/outputs/inverter_0249_output.txt,1.899,-27.3,1.796,1.783,12.69
spice/generated/inverter_0250.cir,spice/outputs/inverter_0250_output.txt,1.704,36.3,1.331,1.688,18.02
spice/generated/inverter_0251.cir,spice/outputs/inverter_0251_output.txt,1.67,93.6,1.478,0.982,10.04
